,Topic,Count,Name,Representation
0,-1,613,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'that', 'with', 'it']"
1,0,92,0_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'is', 'be', 'that', 'we']"
2,1,81,1_to_kitchen_the_and,"['to', 'kitchen', 'the', 'and', 'how', 'of', 'for', 'in', 'you', 'cabinets']"
3,2,77,2_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'door', 'be', 'for', 'with']"
4,3,74,3_you_insurance_to_the,"['you', 'insurance', 'to', 'the', 'car', 'your', 'of', 'that', 'and', 'in']"
5,4,56,4_the_and_to_it,"['the', 'and', 'to', 'it', 'is', 'for', 'that', 'of', 'in', 'on']"
6,5,42,5_the_and_to_of,"['the', 'and', 'to', 'of', 'you', 'in', 'for', 'with', 'car', 'is']"
7,6,36,6_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'that', 'on', 'you']"
8,7,33,7_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'is', 'for', 'that', 'it', 'with']"
9,8,32,8_the_signal_to_of,"['the', 'signal', 'to', 'of', 'dimming', 'and', 'frequency', 'crusher', 'duty', 'in']"
10,9,29,9_diagram_wiring_fuse_honda,"['diagram', 'wiring', 'fuse', 'honda', 'and', 'as', 'chevy', 'with', 'box', '2007']"
11,10,27,10_garage_door_and_dumpster,"['garage', 'door', 'and', 'dumpster', 'to', 'the', 'of', 'you', 'doors', 'for']"
12,11,27,11_the_and_to_of,"['the', 'and', 'to', 'of', 'for', 'in', 'on', 'with', 'dating', 'my']"
13,12,27,12_light_my_and_the,"['light', 'my', 'and', 'the', 'to', 'it', 'in', 'of', 'have', 'was']"
14,13,26,13_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'camera', 'is', 'it', 'that', 'for']"
15,14,24,14_the_to_and_xbox,"['the', 'to', 'and', 'xbox', 'of', 'in', 'you', 'with', 'your', 'on']"
16,15,22,15_the_tires_and_to,"['the', 'tires', 'and', 'to', 'dumpster', 'for', 'in', 'of', 'tire', 'you']"
17,16,21,16_water_to_and_the,"['water', 'to', 'and', 'the', 'your', 'damage', 'of', 'you', 'in', 'we']"
18,17,20,17_plans_shed_storage_and,"['plans', 'shed', 'storage', 'and', 'casters', 'chairs', 'woodworking', 'for', 'kitchen', 'with']"
19,18,16,18_dating_the_to_and,"['dating', 'the', 'to', 'and', 'of', 'that', 'in', 'for', 'my', 'is']"
20,19,16,19_glass_windshield_the_to,"['glass', 'windshield', 'the', 'to', 'repair', 'and', 'auto', 'your', 'of', 'in']"
21,20,15,20_vpn_copper_router_the,"['vpn', 'copper', 'router', 'the', 'to', 'machine', 'recycling', 'and', 'wire', 'of']"
22,21,15,21_water_is_the_your,"['water', 'is', 'the', 'your', 'pump', 'to', 'and', 'pool', 'of', 'will']"
23,22,14,22_the_and_to_car,"['the', 'and', 'to', 'car', 'of', 'paint', 'in', 'with', 'walters', 'by']"
24,23,13,23_the_is_to_and,"['the', 'is', 'to', 'and', 'with', 'it', 'power', 'output', 'for', 'of']"
25,24,13,24_this_your_you_to,"['this', 'your', 'you', 'to', 'blog', 'and', 'web', 'site', 'the', 'it']"
